Title,X,Y, Period,Subject,classification, URL
Round Cairn on Heughscar Hill Askham,348870,523170,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2888918
Round Cairn on High Raise Bampton,344810,513440,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885681
Round Cairn on White Raise,353460,513430,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885671
Round Cairn west of White Raise Shap Rural,353420,513440,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2888914
Selside Pike Round Cairn,349070,511180,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885633
Southern Round Cairn on N end of the Tongue,342470,507610,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885792
THE WHITE RAISE,348890,522420,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971941
Two Round Cairns 415m & 420m NNE of the Cockpit Barton,348510,522580,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885981
White Raise Round Cairn Askham Fell Askham,348890,522420,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885985
Cairnfield,353400,513400,Bronze Age,Round Cairn; Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=972411
Four Funerary Cairns/Cairnfield on Threepow Raise Askham,348250,521880,Bronze Age,Round Cairn; Cairnfield,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885991
Earthwork remains of two Bronze Age round cairns.,342470,507610,Bronze Age,Round Cairn; Cist,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971749
Earthwork remains of two Bronze Age round cairns.,342500,507630,Bronze Age,Round Cairn; Cist,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971749
Earthwork remains of a Bronze Age round cairn,350160,516250,Bronze Age,Round Cairn; Long Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=972329
Moor Divock Ring Cairn Standing Stone Askham,349390,521950,Bronze Age,Standing Stone; Ring Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885990
ASKHAM FELL MOOR DIVOCK  Cop Stones Cairnfield Askham,349550,522100,Prehistoric,Cop Stone,Cairn,https://archaeologydataservice.ac.uk/archsearch/record?titleId=2887298
ASKHAM FELL Round Cairn Banks Askham,348300,522900,Prehistoric,Round Cairn,Cairn,https://archaeologydataservice.ac.uk/archsearch/record?titleId=2887292
Hag Stones Cairnfield Askham,349300,522800,Prehistoric,Cairnfield,Cairn,https://archaeologydataservice.ac.uk/archsearch/record?titleId=2887296
